Date,Event,Country
2022-01-01,Første nyttårsdag,Norway
2022-02-27,Fastelavn,Norway
2022-04-10,Palmesøndag,Norway
2022-04-14,Skjærtorsdag,Norway
2022-04-15,Langfredag,Norway
2022-04-16,Påskeaften,Norway
2022-04-17,Første påskedag,Norway
2022-04-18,Andre påskedag,Norway
2022-05-01,Arbeidernes dag,Norway
2022-05-17,Grunnlovsdag,Norway
2022-05-26,Kristi himmelfartsdag,Norway
2022-06-04,Pinseaften,Norway
2022-06-05,Første pinsedag,Norway
2022-06-06,Andre pinsedag,Norway
2022-06-23,Sankthansaften,Norway
2022-10-31,Halloween,Norway
2023-01-01,Første nyttårsdag,Norway
2023-02-19,Fastelavn,Norway
2023-04-02,Palmesøndag,Norway
2023-04-06,Skjærtorsdag,Norway
2023-04-07,Langfredag,Norway
2023-04-08,Påskeaften,Norway
2023-04-09,Første påskedag,Norway
2023-04-10,Andre påskedag,Norway
2023-05-01,Arbeidernes dag,Norway
2023-05-17,Grunnlovsdag,Norway
2023-05-18,Kristi himmelfartsdag,Norway
2023-05-27,Pinseaften,Norway
2023-05-28,Første pinsedag,Norway
2023-05-29,Andre pinsedag,Norway
2023-12-24,Julaften,Norway
2023-12-25,Første juledag,Norway
2023-12-26,Andre juledag,Norway
2023-12-31,Nyttårsaften,Norway
2022-01-01,Første nyttårsdag,Finland
2022-04-15,Langfredag,Finland
2022-04-17,Første påskedag,Finland
2022-04-18,Andre påskedag,Finland
2022-05-01,1. mai,Finland
2022-05-26,Kristi himmelfartsdag,Finland
2022-06-05,Første pinsedag,Finland
2022-06-24,Midtsommeraften,Finland
2022-06-25,Midtsommerdag,Finland
2022-12-06,Uavhengighetsdag,Finland
2022-12-24,Julaften,Finland
2022-12-25,Første juledag,Finland
2022-12-26,Andre juledag,Finland
2022-12-31,Nyttårsaften,Finland
2023-01-01,Første nyttårsdag,Finland
2023-04-07,Langfredag,Finland
2023-04-09,Første påskedag,Finland
2023-04-10,Andre påskedag,Finland
2023-05-01,Arbeidernes dag,Finland
2023-05-18,Kristi himmelfartsdag,Finland
2023-05-28,Første pinsedag,Finland
2023-06-23,Midtsommeraften,Finland
2023-06-24,Midtsommerdag,Finland
2023-12-06,Uavhengighetsdag,Finland
2023-12-24,Julaften,Finland
2023-12-25,Første juledag,Finland
2023-12-26,Andre juledag,Finland
2023-12-31,Nyttårsaften,Finland